InventoryLegSK	CarrierCode	FlightNumber	DepartureAirport	ArrivalAirport	DepartureDateTimeLocal	DepartureDateTimeUTC	ArrivalDateTimeLocal	ArrivalDateTimeUTC	ArrivalCountry	DepartureCountry	RouteGroup	Region	FlightCapacity	FlightStatus
9160386	FR	4192	STN	BGY	2022-04-05 07:25:00	2022-04-05 06:25:00	2022-04-05 10:15:00	2022-04-05 08:15:00	Italy	United Kingdom	CITY	LON CITY MULTI	197	Departed
8986671	FR	7412	EIN	FAO	2022-09-18 11:00:00	2022-09-18 09:00:00	2022-09-18 13:00:00	2022-09-18 12:00:00	Portugal	Netherlands	LEISURE	BENLFR LEISURE	189	Departed
9823044	FR	407	FCO	CPH	2022-08-01 18:15:00	2022-08-01 16:15:00	2022-08-01 21:05:00	2022-08-01 19:05:00	Denmark	Italy	CITY	SCAN-ESIT	189	Departed
9535817	FR	6568	PMI	ALC	2022-08-25 15:40:00	2022-08-25 13:40:00	2022-08-25 16:40:00	2022-08-25 14:40:00	Spain	Spain	DOMESTIC	ESPT DOM	189	Departed
9741466	FR	4676	NAP	GOA	2022-07-24 10:40:00	2022-07-24 08:40:00	2022-07-24 12:00:00	2022-07-24 10:00:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
8936182	FR	1126	SCQ	TFS	2022-06-13 06:05:00	2022-06-13 04:05:00	2022-06-13 08:00:00	2022-06-13 07:00:00	Spain	Spain	DOMESTIC	ES CANARY	189	Departed
9159523	FR	9686	MAD	CIA	2022-07-21 20:30:00	2022-07-21 18:30:00	2022-07-21 22:45:00	2022-07-21 20:45:00	Italy	Spain	CITY	ESPT-IT	189	Cancelled
8954682	FR	8393	BUD	BCN	2022-09-08 20:20:00	2022-09-08 18:20:00	2022-09-08 22:55:00	2022-09-08 20:55:00	Spain	Hungary	CITY	EAST-ESFRIT	189	Departed
9011551	FR	5991	MAD	STN	2022-09-12 18:25:00	2022-09-12 16:25:00	2022-09-12 19:45:00	2022-09-12 18:45:00	United Kingdom	Spain	CITY	LON CITY MULTI	189	Cancelled
9851423	FR	2262	CTA	BGY	2022-07-31 09:00:00	2022-07-31 07:00:00	2022-07-31 10:50:00	2022-07-31 08:50:00	Italy	Italy	DOMESTIC	MIL DOM	197	Departed
9178414	FR	9662	CIA	KRK	2022-07-08 06:35:00	2022-07-08 04:35:00	2022-07-08 08:25:00	2022-07-08 06:25:00	Poland	Italy	CITY	EAST-ESFRIT	189	Departed
9714345	FR	6193	BRI	VRN	2022-04-07 10:10:00	2022-04-07 08:10:00	2022-04-07 11:30:00	2022-04-07 09:30:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
9436782	FR	6067	TER	LIS	2022-05-14 19:00:00	2022-05-14 20:00:00	2022-05-14 23:20:00	2022-05-14 22:20:00	Portugal	Portugal	DOMESTIC	ESPT DOM	189	Cancelled
9187453	FR	4879	CIA	CAG	2022-09-03 20:25:00	2022-09-03 18:25:00	2022-09-03 21:25:00	2022-09-03 19:25:00	Italy	Italy	DOMESTIC	ROM DOM	189	Departed
8944701	FR	3080	BCN	AGP	2022-05-20 20:50:00	2022-05-20 18:50:00	2022-05-20 22:30:00	2022-05-20 20:30:00	Spain	Spain	DOMESTIC	BCNMAD DOM	189	Cancelled
9510302	FR	5970	MXP	MLA	2022-06-22 19:50:00	2022-06-22 17:50:00	2022-06-22 21:55:00	2022-06-22 19:55:00	Malta	Italy	LEISURE	S EUR LEISURE	189	Cancelled
9154807	FR	1144	BER	MAN	2022-09-02 18:05:00	2022-09-02 16:05:00	2022-09-02 19:10:00	2022-09-02 18:10:00	United Kingdom	Germany	CITY	UK REG CITY	189	Departed
9521495	FR	8955	TRS	BRI	2022-06-28 18:15:00	2022-06-28 16:15:00	2022-06-28 19:30:00	2022-06-28 17:30:00	Italy	Italy	DOMESTIC	IT DOM	189	Cancelled
9897117	FR	381	HHN	DUB	2022-05-14 10:25:00	2022-05-14 08:25:00	2022-05-14 11:30:00	2022-05-14 10:30:00	Ireland	Germany	CITY	IE CITY	189	Departed
9487338	FR	6736	MRS	BVA	2022-07-01 16:40:00	2022-07-01 14:40:00	2022-07-01 18:10:00	2022-07-01 16:10:00	France	France	DOMESTIC	OTHER DOM	189	Departed
9120204	FR	2014	PRG	STN	2022-06-08 11:10:00	2022-06-08 09:10:00	2022-06-08 12:00:00	2022-06-08 11:00:00	United Kingdom	Czech Republic	CITY	LON CITY MULTI	189	Departed
9595466	FR	9918	LPL	EGC	2022-09-27 08:55:00	2022-09-27 07:55:00	2022-09-27 11:50:00	2022-09-27 09:50:00	France	United Kingdom	LEISURE	UK REG LEISURE	189	Departed
9544051	FR	9803	GRO	STN	2022-09-18 21:25:00	2022-09-18 19:25:00	2022-09-18 22:35:00	2022-09-18 21:35:00	United Kingdom	Spain	LEISURE	LON LEISURE	189	Departed
9500220	FR	4018	MXP	OPO	2022-04-03 07:00:00	2022-04-03 05:00:00	2022-04-03 08:35:00	2022-04-03 07:35:00	Portugal	Italy	CITY	ESPT-IT	189	Departed
9024108	FR	9052	ALC	CRL	2022-07-16 17:55:00	2022-07-16 15:55:00	2022-07-16 20:25:00	2022-07-16 18:25:00	Belgium	Spain	LEISURE	BENLFR LEISURE	189	Departed
9075166	FR	2863	LUX	OPO	2022-06-06 21:10:00	2022-06-06 19:10:00	2022-06-06 22:40:00	2022-06-06 21:40:00	Portugal	Luxembourg	CITY	BENL-ESPT	189	Departed
9046436	FR	2181	BOD	LIS	2022-06-18 15:55:00	2022-06-18 13:55:00	2022-06-18 16:50:00	2022-06-18 15:50:00	Portugal	France	CITY	ESPT-FR	189	Cancelled
9721255	RK	1392	STN	OSL	2022-05-25 06:10:00	2022-05-25 05:10:00	2022-05-25 09:10:00	2022-05-25 07:10:00	Norway	United Kingdom	CITY	LON CITY MULTI	189	Departed
9682220	FR	6205	CTA	PSA	2022-08-15 08:10:00	2022-08-15 06:10:00	2022-08-15 09:45:00	2022-08-15 07:45:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
9109239	FR	8330	PRG	CIA	2022-05-19 14:30:00	2022-05-19 12:30:00	2022-05-19 16:10:00	2022-05-19 14:10:00	Italy	Czech Republic	CITY	EAST-ESFRIT	189	Cancelled
9449475	FR	2154	BHX	RMU	2022-05-31 06:15:00	2022-05-31 05:15:00	2022-05-31 09:50:00	2022-05-31 07:50:00	Spain	United Kingdom	LEISURE	UK REG LEISURE	189	Departed
9842245	FR	3477	PMF	CAG	2022-05-11 19:25:00	2022-05-11 17:25:00	2022-05-11 20:45:00	2022-05-11 18:45:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
9018507	FR	2106	TLS	CRL	2022-05-07 08:35:00	2022-05-07 06:35:00	2022-05-07 10:20:00	2022-05-07 08:20:00	Belgium	France	CITY	BENL-FRIT	189	Departed
9174228	FR	8708	BRI	BVA	2022-05-14 18:45:00	2022-05-14 16:45:00	2022-05-14 21:15:00	2022-05-14 19:15:00	France	Italy	LEISURE	BENLFR LEISURE	189	Departed
8998112	FR	588	STN	PSA	2022-06-25 17:10:00	2022-06-25 16:10:00	2022-06-25 20:15:00	2022-06-25 18:15:00	Italy	United Kingdom	CITY	LON CITY MULTI	189	Departed
9068771	FR	1302	CRL	NAP	2022-07-24 07:05:00	2022-07-24 05:05:00	2022-07-24 09:15:00	2022-07-24 07:15:00	Italy	Belgium	LEISURE	BENLFR LEISURE	189	Departed
9644812	FR	9840	CGN	LIS	2022-09-25 17:30:00	2022-09-25 15:30:00	2022-09-25 19:35:00	2022-09-25 18:35:00	Portugal	Germany	CITY	DE-ESPT	189	Departed
10109463	FR	5904	TRN	TPS	2022-08-08 10:50:00	2022-08-08 08:50:00	2022-08-08 12:35:00	2022-08-08 10:35:00	Italy	Italy	DOMESTIC	IT DOM	189	Departed
9508203	FR	4656	NAP	TRN	2022-07-05 16:10:00	2022-07-05 14:10:00	2022-07-05 17:40:00	2022-07-05 15:40:00	Italy	Italy	DOMESTIC	IT DOM	189	Cancelled
9156285	FR	5004	BLQ	PRG	2022-07-31 11:00:00	2022-07-31 09:00:00	2022-07-31 12:25:00	2022-07-31 10:25:00	Czech Republic	Italy	CITY	EAST-ESFRIT	189	Departed
9560872	FR	1520	STN	HAM	2022-08-31 19:00:00	2022-08-31 18:00:00	2022-08-31 21:25:00	2022-08-31 19:25:00	Germany	United Kingdom	CITY	LON CITY MULTI	189	Cancelled
9721318	RK	3034	AGA	STN	2022-09-18 19:20:00	2022-09-18 18:20:00	2022-09-18 23:05:00	2022-09-18 22:05:00	United Kingdom	Morocco	LEISURE	LON LEISURE	189	Departed
9748633	FR	4873	PSA	TPS	2022-07-03 06:10:00	2022-07-03 04:10:00	2022-07-03 07:35:00	2022-07-03 05:35:00	Italy	Italy	DOMESTIC	IT DOM	197	Departed
8941591	FR	2084	MAD	IBZ	2022-06-23 20:15:00	2022-06-23 18:15:00	2022-06-23 21:30:00	2022-06-23 19:30:00	Spain	Spain	DOMESTIC	BCNMAD DOM	189	Departed
9063037	FR	5173	BLL	STN	2022-09-15 10:15:00	2022-09-15 08:15:00	2022-09-15 10:50:00	2022-09-15 09:50:00	United Kingdom	Denmark	CITY	LON CITY MULTI	197	Departed
9458200	FR	7370	VIE	VLC	2022-06-16 15:55:00	2022-06-16 13:55:00	2022-06-16 18:35:00	2022-06-16 16:35:00	Spain	Austria	CITY	EAST-ESFRIT	189	Departed
9420803	FR	2225	STN	TLL	2022-05-15 09:30:00	2022-05-15 08:30:00	2022-05-15 14:10:00	2022-05-15 11:10:00	Estonia	United Kingdom	CITY	LON CITY	197	Departed
9116031	FR	8411	BUD	BGY	2022-06-04 22:15:00	2022-06-04 20:15:00	2022-06-04 23:50:00	2022-06-04 21:50:00	Italy	Hungary	CITY	EAST-ESFRIT	189	Cancelled
9411416	FR	9511	PMI	BTS	2022-05-14 17:00:00	2022-05-14 15:00:00	2022-05-14 19:25:00	2022-05-14 17:25:00	Slovakia	Spain	LEISURE	CE EUR LEISURE	189	Departed
9802849	FR	7593	STN	ORB	2022-07-08 12:15:00	2022-07-08 11:15:00	2022-07-08 15:25:00	2022-07-08 13:25:00	Sweden	United Kingdom	CITY	LON CITY	189	Departed
10103875	FR	2222	MRS	VLC	2022-07-22 13:20:00	2022-07-22 11:20:00	2022-07-22 14:45:00	2022-07-22 12:45:00	Spain	France	CITY	ESPT-FR	189	Departed
9490083	FR	5098	FAO	BOD	2022-05-31 08:00:00	2022-05-31 07:00:00	2022-05-31 10:55:00	2022-05-31 08:55:00	France	Portugal	LEISURE	BENLFR LEISURE	189	Departed
9114757	FR	3053	BCN	KRK	2022-04-29 16:40:00	2022-04-29 14:40:00	2022-04-29 19:30:00	2022-04-29 17:30:00	Poland	Spain	CITY	EAST-ESFRIT	189	Departed
9796065	FR	8833	EIN	BDS	2022-05-11 17:45:00	2022-05-11 15:45:00	2022-05-11 20:10:00	2022-05-11 18:10:00	Italy	Netherlands	LEISURE	BENLFR LEISURE	189	Departed
9539991	FR	8762	HHN	SVQ	2022-09-18 21:10:00	2022-09-18 19:10:00	2022-09-18 23:55:00	2022-09-18 21:55:00	Spain	Germany	LEISURE	DE LEISURE	189	Departed
10086841	FR	1335	EDI	FNI	2022-09-19 13:35:00	2022-09-19 12:35:00	2022-09-19 17:00:00	2022-09-19 15:00:00	France	United Kingdom	LEISURE	SCOT LEISURE	189	Departed
9455928	FR	7290	SDR	VIE	2022-05-13 10:40:00	2022-05-13 08:40:00	2022-05-13 13:15:00	2022-05-13 11:15:00	Austria	Spain	CITY	EAST-ESFRIT	189	Departed
9553156	FR	2540	BCN	BDS	2022-07-22 19:40:00	2022-07-22 17:40:00	2022-07-22 21:55:00	2022-07-22 19:55:00	Italy	Spain	CITY	ESPT-IT	189	Cancelled
9413658	FR	8384	BCN	BUD	2022-06-14 07:30:00	2022-06-14 05:30:00	2022-06-14 10:05:00	2022-06-14 08:05:00	Hungary	Spain	CITY	EAST-ESFRIT	189	Departed
9165285	FR	5501	BGY	HAM	2022-08-14 06:10:00	2022-08-14 04:10:00	2022-08-14 07:55:00	2022-08-14 05:55:00	Germany	Italy	CITY	DE-FRITIE	197	Departed
10111135	FR	4475	BGY	CRL	2022-09-23 06:55:00	2022-09-23 04:55:00	2022-09-23 08:25:00	2022-09-23 06:25:00	Belgium	Italy	CITY	BENL-FRIT	197	Departed
9762772	FR	7567	IBZ	ALC	2022-09-23 23:05:00	2022-09-23 21:05:00	2022-09-23 23:55:00	2022-09-23 21:55:00	Spain	Spain	DOMESTIC	ESPT DOM	189	Departed
9164766	FR	2607	TSF	BER	2022-04-30 09:10:00	2022-04-30 07:10:00	2022-04-30 10:40:00	2022-04-30 08:40:00	Germany	Italy	CITY	DE-FRITIE	189	Departed
